,1,2,5,10
0.0,0.0,0.0,0.0,0.0
200.0,1.0,0.0,1.0,0.0
400.0,1.0,0.0,0.0,0.0
600.0,1.0,0.0,1.0,0.0
800.0,1.0,1.0,0.0,1.0
